NumLanNegative,NumLanPositive,NumNegative,NumPorterNegative,NumPorterPositive,NumPositive,NumSnowNegative,NumSnowPositive,speaker,statementNumber
39,47,3,11,28,14,12,28,LEHRER,0
38,53,10,17,33,16,17,34,OBAMA,1
0,0,0,0,0,0,0,0,LEHRER,2
48,67,12,20,34,25,20,34,ROMNEY,3
3,3,3,3,2,1,3,2,LEHRER,4
47,51,8,16,31,14,17,32,OBAMA,5
5,5,0,2,2,1,2,2,LEHRER,6
70,94,10,30,40,20,31,43,ROMNEY,7
26,35,6,15,16,9,16,16,OBAMA,8
0,2,0,0,1,1,0,1,LEHRER,9
18,34,3,7,15,8,7,15,OBAMA,10
4,5,0,2,4,4,2,4,LEHRER,11
2,2,1,2,2,2,2,2,ROMNEY,12
0,2,0,0,1,1,0,1,LEHRER,13
58,66,4,19,23,16,19,23,ROMNEY,14
1,1,1,1,1,1,1,1,LEHRER,15
51,56,4,27,32,14,27,32,OBAMA,16
0,2,0,0,1,1,0,1,LEHRER,17
3,2,0,0,2,1,0,2,ROMNEY,18
0,2,0,0,2,2,0,2,LEHRER,19
1,0,0,1,0,0,1,0,ROMNEY,20
2,5,2,2,4,1,2,4,LEHRER,21
0,1,0,0,1,1,0,1,ROMNEY,22
7,9,3,4,4,2,4,4,LEHRER,23
53,42,2,26,15,11,28,15,ROMNEY,24
34,54,5,14,22,16,14,22,OBAMA,25
1,1,0,0,0,0,0,0,ROMNEY,26
1,1,0,0,1,1,0,1,LEHRER,27
34,41,4,9,11,8,9,11,ROMNEY,28
10,6,1,3,1,1,3,1,LEHRER,29
27,49,2,13,23,13,13,22,ROMNEY,30
0,1,0,0,1,0,0,1,OBAMA,31
12,23,1,2,12,7,2,12,ROMNEY,32
0,0,0,0,0,0,0,0,LEHRER,33
41,70,6,16,24,11,16,25,OBAMA,34
1,0,1,1,0,0,1,0,LEHRER,35
1,4,0,0,2,1,0,2,OBAMA,36
0,1,0,0,0,0,0,0,LEHRER,37
1,0,1,1,0,0,1,0,OBAMA,38
0,1,0,0,1,1,0,1,LEHRER,39
0,1,0,0,0,0,0,0,ROMNEY,40
1,2,1,1,1,1,1,1,LEHRER,41
3,3,1,1,0,0,1,0,ROMNEY,42
1,1,0,0,1,1,0,1,OBAMA,43
42,39,6,18,14,9,18,14,ROMNEY,44
1,1,0,1,1,0,1,1,LEHRER,45
0,0,0,0,0,0,0,0,ROMNEY,46
0,0,0,0,0,0,0,0,LEHRER,47
0,1,0,0,1,1,0,1,OBAMA,48
2,2,0,0,0,0,0,1,LEHRER,49
3,1,0,0,0,0,0,0,OBAMA,50
10,15,3,5,3,0,5,3,ROMNEY,51
1,3,0,0,1,1,0,2,LEHRER,52
48,77,8,20,42,23,20,42,OBAMA,53
1,1,0,0,0,0,0,0,ROMNEY,54
1,1,0,0,1,0,0,1,LEHRER,55
6,3,0,3,0,0,3,0,ROMNEY,56
0,2,0,0,1,0,0,1,OBAMA,57
21,27,4,10,14,9,10,14,ROMNEY,58
0,0,0,0,0,0,0,0,LEHRER,59
23,41,4,5,25,9,5,25,ROMNEY,60
0,0,0,0,0,0,0,0,LEHRER,61
4,6,0,0,4,3,0,4,ROMNEY,62
4,1,0,0,0,0,0,0,LEHRER,63
0,0,0,0,0,0,0,0,OBAMA,64
1,6,0,0,3,3,0,3,LEHRER,65
43,59,5,12,43,30,15,44,OBAMA,66
2,2,0,0,1,1,0,1,LEHRER,67
33,48,7,11,28,16,12,28,ROMNEY,68
0,0,0,0,0,0,0,0,LEHRER,69
5,10,0,1,6,5,1,6,OBAMA,70
0,1,0,0,1,1,0,1,LEHRER,71
0,0,0,0,0,0,0,0,OBAMA,72
0,0,0,0,0,0,0,0,ROMNEY,73
0,1,0,0,1,0,0,1,OBAMA,74
1,2,0,0,1,1,0,1,ROMNEY,75
32,57,4,10,37,22,11,37,OBAMA,76
1,4,0,0,4,1,0,4,LEHRER,77
1,2,0,0,2,1,0,2,ROMNEY,78
0,0,0,0,0,0,0,0,LEHRER,79
24,44,4,6,25,15,8,25,ROMNEY,80
19,25,2,3,18,12,6,17,OBAMA,81
0,0,0,0,0,0,0,0,LEHRER,82
0,0,0,0,0,0,0,0,OBAMA,83
1,1,0,0,0,0,0,0,ROMNEY,84
0,1,0,0,0,0,0,0,OBAMA,85
0,0,0,0,0,0,0,0,LEHRER,86
1,0,1,1,0,0,1,0,OBAMA,87
0,1,0,0,0,0,0,0,LEHRER,88
0,0,0,0,0,0,0,0,ROMNEY,89
0,1,0,0,0,0,0,0,LEHRER,90
2,3,0,0,2,1,1,2,ROMNEY,91
0,2,0,0,1,1,0,1,LEHRER,92
2,2,0,0,2,1,0,2,ROMNEY,93
0,0,0,0,0,0,0,0,LEHRER,94
2,7,0,0,4,2,1,4,ROMNEY,95
0,5,0,0,1,1,0,2,LEHRER,96
0,0,0,0,0,0,0,0,ROMNEY,97
1,0,0,0,0,0,0,0,LEHRER,98
0,0,0,0,0,0,0,0,ROMNEY,99
0,0,0,0,0,0,0,0,OBAMA,100
3,10,0,0,4,2,0,4,LEHRER,101
7,26,3,4,6,4,4,6,ROMNEY,102
1,2,1,1,0,0,1,0,LEHRER,103
1,0,0,0,0,0,0,0,ROMNEY,104
0,1,0,0,1,0,0,1,LEHRER,105
16,19,5,9,7,4,9,7,ROMNEY,106
1,2,0,0,1,1,0,1,LEHRER,107
7,13,2,3,4,4,3,4,ROMNEY,108
0,2,0,0,1,1,0,1,LEHRER,109
1,2,0,0,0,0,0,0,ROMNEY,110
3,6,0,0,2,2,0,2,LEHRER,111
30,49,10,11,29,16,11,30,OBAMA,112
33,47,9,13,24,18,14,26,ROMNEY,113
1,17,0,1,8,3,1,10,LEHRER,114
50,45,8,14,30,13,20,30,ROMNEY,115
44,42,12,16,22,11,20,22,LEHRER,116
