Difference,NumNegativePorter,NumPositivePorter,dsk,pubdate,pubmon,statementNumber
-9,57,48,Business/Financial Desk,1,11,1
-11,23,12,Business/Financial Desk,1,11,2
-27,39,12,Business/Financial Desk,1,11,3
-24,54,30,Business/Financial Desk,1,11,4
-14,23,9,Business/Financial Desk,1,11,5
-16,21,5,Business/Financial Desk,1,11,6
-19,39,20,Business/Financial Desk,1,11,7
-30,64,34,Business/Financial Desk,1,11,8
-25,54,29,Business/Financial Desk,1,11,9
-31,47,16,Business/Financial Desk,1,11,10
-23,56,33,Business/Financial Desk,1,11,11
-2,14,12,Business/Financial Desk,1,11,12
-9,25,16,Business/Financial Desk,1,11,13
-19,49,30,Business/Financial Desk,1,11,14
11,40,51,Business/Financial Desk,1,11,15
-29,75,46,The Arts/Cultural Desk,1,11,16
-20,37,17,The Arts/Cultural Desk,1,11,17
-5,58,53,The Arts/Cultural Desk,1,11,18
-37,71,34,The Arts/Cultural Desk,1,11,19
-23,37,14,The Arts/Cultural Desk,1,11,20
-14,62,48,Business/Financial Desk,1,11,21
-11,52,41,The Arts/Cultural Desk,1,11,22
-41,65,24,The Arts/Cultural Desk,1,11,23
2,16,18,The Arts/Cultural Desk,1,11,24
-5,46,41,The Arts/Cultural Desk,1,11,25
-11,21,10,The Arts/Cultural Desk,1,11,26
-8,26,18,The Arts/Cultural Desk,1,11,27
-17,39,22,The Arts/Cultural Desk,1,11,28
-7,29,22,The Arts/Cultural Desk,1,11,29
-11,21,10,National Desk,1,11,30
-7,21,14,Foreign Desk,1,11,31
-7,37,30,Foreign Desk,1,11,32
-5,36,31,Sports Desk,1,11,33
9,25,34,Foreign Desk,1,11,34
3,40,43,Foreign Desk,1,11,35
-8,24,16,Sports Desk,1,11,36
-5,45,40,National Desk,1,11,37
-19,55,36,National Desk,1,11,38
-15,37,22,Sports Desk,1,11,39
8,22,30,Sports Desk,1,11,40
-3,27,24,Editorial Desk,1,11,41
5,22,27,Editorial Desk,1,11,42
-6,43,37,Editorial Desk,1,11,43
-5,28,23,Editorial Desk,1,11,44
-4,31,27,Editorial Desk,1,11,45
-9,43,34,National Desk,1,11,46
-2,19,17,National Desk,1,11,47
-6,46,40,National Desk,1,11,48
10,20,30,Foreign Desk,1,11,49
-27,57,30,National Desk,1,11,50
-5,56,51,Foreign Desk,1,11,51
-11,60,49,National Desk,1,11,52
-12,17,5,National Desk,1,11,53
7,38,45,National Desk,1,11,54
-22,37,15,Foreign Desk,1,11,55
-15,41,26,National Desk,1,11,56
3,19,22,National Desk,1,11,57
-8,41,33,Sports Desk,1,11,58
1,22,23,Editorial Desk,1,11,59
8,51,59,Editorial Desk,1,11,60
0,24,24,Sports Desk,1,11,61
-10,21,11,Sports Desk,1,11,62
-25,74,49,Sports Desk,1,11,63
3,41,44,Sports Desk,1,11,64
-8,41,33,Sports Desk,1,11,65
3,40,43,Editorial Desk,1,11,66
-14,48,34,National Desk,1,11,67
-2,27,25,National Desk,1,11,68
-8,21,13,Foreign Desk,1,11,69
-29,66,37,National Desk,1,11,70
-19,31,12,Foreign Desk,1,11,71
-9,22,13,Foreign Desk,1,11,72
-17,34,17,Foreign Desk,1,11,73
0,15,15,Editorial Desk,1,11,74
-7,34,27,Sports Desk,1,11,75
3,12,15,Foreign Desk,1,11,76
